id,owner,name,html_url,clone_url,,is target repo?,has PR template,pull_request_template paths
67709808,react-native-elements,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements.git,https://github.com/react-native-elements/react-native-elements,O,O,.github/PULL_REQUEST_TEMPLATE.md
7613257,SeleniumHQ,selenium,https://github.com/SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium.git,https://github.com/SeleniumHQ/selenium,O,O,.github/PULL_REQUEST_TEMPLATE.md
3606624,ReactiveCocoa,ReactiveCocoa,https://github.com/ReactiveCocoa/ReactiveCocoa,https://github.com/ReactiveCocoa/ReactiveCocoa.git,https://github.com/ReactiveCocoa/ReactiveCocoa,O,O,.github/PULL_REQUEST_TEMPLATE.md
2990192,signalapp,Signal-Android,https://github.com/signalapp/Signal-Android,https://github.com/signalapp/Signal-Android.git,https://github.com/signalapp/Signal-Android,O,O,.github/PULL_REQUEST_TEMPLATE.md
154950925,streamich,react-use,https://github.com/streamich/react-use,https://github.com/streamich/react-use.git,https://github.com/streamich/react-use,O,O,.github/PULL_REQUEST_TEMPLATE.md
61412022,ianstormtaylor,slate,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate.git,https://github.com/ianstormtaylor/slate,O,O,.github/PULL_REQUEST_TEMPLATE.md
125596489,doczjs,docz,https://github.com/doczjs/docz,https://github.com/doczjs/docz.git,https://github.com/doczjs/docz,O,O,.github/PULL_REQUEST_TEMPLATE.md
23141830,paularmstrong,normalizr,https://github.com/paularmstrong/normalizr,https://github.com/paularmstrong/normalizr.git,https://github.com/paularmstrong/normalizr,O,O,.github/PULL_REQUEST_TEMPLATE.md
52113921,facebookarchive,draft-js,https://github.com/facebookarchive/draft-js,https://github.com/facebookarchive/draft-js.git,https://github.com/facebookarchive/draft-js,O,O,.github/PULL_REQUEST_TEMPLATE.md
2206953,tj,commander.js,https://github.com/tj/commander.js,https://github.com/tj/commander.js.git,https://github.com/tj/commander.js,O,O,.github/PULL_REQUEST_TEMPLATE.md
31492490,NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,https://github.com/NativeScript/NativeScript.git,https://github.com/NativeScript/NativeScript,O,O,.github/PULL_REQUEST_TEMPLATE.md
35640229,rollup,rollup,https://github.com/rollup/rollup,https://github.com/rollup/rollup.git,https://github.com/rollup/rollup,O,O,.github/PULL_REQUEST_TEMPLATE.md
125266328,psf,black,https://github.com/psf/black,https://github.com/psf/black.git,https://github.com/psf/black,O,O,.github/PULL_REQUEST_TEMPLATE.md
21467110,explosion,spaCy,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy.git,https://github.com/explosion/spaCy,O,O,.github/PULL_REQUEST_TEMPLATE.md
2055965,swagger-api,swagger-ui,https://github.com/swagger-api/swagger-ui,https://github.com/swagger-api/swagger-ui.git,https://github.com/swagger-api/swagger-ui,O,O,.github/pull_request_template.md
124257233,pmndrs,react-spring,https://github.com/pmndrs/react-spring,https://github.com/pmndrs/react-spring.git,https://github.com/pmndrs/react-spring,O,O,.github/PULL_REQUEST_TEMPLATE.md
257485422,vitejs,vite,https://github.com/vitejs/vite,https://github.com/vitejs/vite.git,https://github.com/vitejs/vite,O,O,.github/PULL_REQUEST_TEMPLATE.md
24579238,vuejs,devtools-v6,https://github.com/vuejs/devtools-v6,https://github.com/vuejs/devtools-v6.git,https://github.com/vuejs/devtools-v6,O,O,.github/PULL_REQUEST_TEMPLATE.md
15975439,jlmakes,scrollreveal,https://github.com/jlmakes/scrollreveal,https://github.com/jlmakes/scrollreveal.git,https://github.com/jlmakes/scrollreveal,O,O,.github/PULL_REQUEST_TEMPLATE.md
80149262,react-navigation,react-navigation,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation.git,https://github.com/react-navigation/react-navigation,O,O,.github/PULL_REQUEST_TEMPLATE.md
108110,mongodb,mongo,https://github.com/mongodb/mongo,https://github.com/mongodb/mongo.git,https://github.com/mongodb/mongo,O,O,.github/pull_request_template.md
34864402,apache,mxnet,https://github.com/apache/mxnet,https://github.com/apache/mxnet.git,https://github.com/apache/mxnet,O,O,.github/PULL_REQUEST_TEMPLATE.md
30794868,sampotts,plyr,https://github.com/sampotts/plyr,https://github.com/sampotts/plyr.git,https://github.com/sampotts/plyr,O,O,.github/pull_request_template.md
32538871,google,gson,https://github.com/google/gson,https://github.com/google/gson.git,https://github.com/google/gson,O,O,.github/pull_request_template.md
163387337,apache,incubator-seata,https://github.com/apache/incubator-seata,https://github.com/apache/incubator-seata.git,https://github.com/apache/incubator-seata,O,O,.github/PULL_REQUEST_TEMPLATE.md
26102180,afollestad,material-dialogs,https://github.com/afollestad/material-dialogs,https://github.com/afollestad/material-dialogs.git,https://github.com/afollestad/material-dialogs,O,O,.github/pull_request_template.md
2540368,jaredhanson,passport,https://github.com/jaredhanson/passport,https://github.com/jaredhanson/passport.git,https://github.com/jaredhanson/passport,O,O,.github/PULL_REQUEST_TEMPLATE.md
128237146,vuejs,vuepress,https://github.com/vuejs/vuepress,https://github.com/vuejs/vuepress.git,https://github.com/vuejs/vuepress,O,O,.github/PULL_REQUEST_TEMPLATE.md
50603846,parse-community,parse-server,https://github.com/parse-community/parse-server,https://github.com/parse-community/parse-server.git,https://github.com/parse-community/parse-server,O,O,.github/pull_request_template.md
13926404,getredash,redash,https://github.com/getredash/redash,https://github.com/getredash/redash.git,https://github.com/getredash/redash,O,O,.github/PULL_REQUEST_TEMPLATE.md
174038031,react-hook-form,react-hook-form,https://github.com/react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form.git,https://github.com/react-hook-form/react-hook-form,O,O,.github/PULL_REQUEST_TEMPLATE/pull_request_template.md
110446844,marktext,marktext,https://github.com/marktext/marktext,https://github.com/marktext/marktext.git,https://github.com/marktext/marktext,O,O,.github/PULL_REQUEST_TEMPLATE.md
2211243,apache,kafka,https://github.com/apache/kafka,https://github.com/apache/kafka.git,https://github.com/apache/kafka,O,O,.github/pull_request_template.md
712530,fabricjs,fabric.js,https://github.com/fabricjs/fabric.js,https://github.com/fabricjs/fabric.js.git,https://github.com/fabricjs/fabric.js,O,O,.github/PULL_REQUEST_TEMPLATE.md
13753636,jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,https://github.com/jhipster/generator-jhipster.git,https://github.com/jhipster/generator-jhipster,O,O,.github/PULL_REQUEST_TEMPLATE.md
1213225,highlightjs,highlight.js,https://github.com/highlightjs/highlight.js,https://github.com/highlightjs/highlight.js.git,https://github.com/highlightjs/highlight.js,O,O,.github/pull_request_template.md
7874074,goldfire,howler.js,https://github.com/goldfire/howler.js,https://github.com/goldfire/howler.js.git,https://github.com/goldfire/howler.js,O,O,.github/PULL_REQUEST_TEMPLATE.md
11061773,eslint,eslint,https://github.com/eslint/eslint,https://github.com/eslint/eslint.git,https://github.com/eslint/eslint,O,O,.github/PULL_REQUEST_TEMPLATE.md
2909429,nicolargo,glances,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances.git,https://github.com/nicolargo/glances,O,O,.github/PULL_REQUEST_TEMPLATE.md
15116946,vuejs,vue-router,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router.git,https://github.com/vuejs/vue-router,O,O,.github/PULL_REQUEST_TEMPLATE.md
43695474,quasarframework,quasar,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar.git,https://github.com/quasarframework/quasar,O,O,.github/PULL_REQUEST_TEMPLATE.md
22394357,osquery,osquery,https://github.com/osquery/osquery,https://github.com/osquery/osquery.git,https://github.com/osquery/osquery,O,O,.github/PULL_REQUEST_TEMPLATE.md
112785414,alibaba,spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba.git,https://github.com/alibaba/spring-cloud-alibaba,O,O,.github/PULL_REQUEST_TEMPLATE.md
36804486,tqdm,tqdm,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm.git,https://github.com/tqdm/tqdm,O,O,.github/PULL_REQUEST_TEMPLATE/pr.md
5084750,Baseflow,PhotoView,https://github.com/Baseflow/PhotoView,https://github.com/Baseflow/PhotoView.git,https://github.com/Baseflow/PhotoView,O,O,.github/PULL_REQUEST_TEMPLATE.md
71939872,palantir,blueprint,https://github.com/palantir/blueprint,https://github.com/palantir/blueprint.git,https://github.com/palantir/blueprint,O,O,.github/PULL_REQUEST_TEMPLATE.md
20818126,google,ExoPlayer,https://github.com/google/ExoPlayer,https://github.com/google/ExoPlayer.git,https://github.com/google/ExoPlayer,O,O,.github/pull_request_template.md
59239347,portainer,portainer,https://github.com/portainer/portainer,https://github.com/portainer/portainer.git,https://github.com/portainer/portainer,O,O,.github/PULL_REQUEST_TEMPLATE.md
172741073,FredKSchott,snowpack,https://github.com/FredKSchott/snowpack,https://github.com/FredKSchott/snowpack.git,https://github.com/FredKSchott/snowpack,O,O,.github/PULL_REQUEST_TEMPLATE.md
965782,validatorjs,validator.js,https://github.com/validatorjs/validator.js,https://github.com/validatorjs/validator.js.git,https://github.com/validatorjs/validator.js,O,O,.github/pull_request_template.md
1103607,jenkinsci,jenkins,https://github.com/jenkinsci/jenkins,https://github.com/jenkinsci/jenkins.git,https://github.com/jenkinsci/jenkins,O,O,.github/PULL_REQUEST_TEMPLATE.md
18611173,julianshapiro,velocity,https://github.com/julianshapiro/velocity,https://github.com/julianshapiro/velocity.git,https://github.com/julianshapiro/velocity,O,O,.github/PULL_REQUEST_TEMPLATE.md
74260508,docsifyjs,docsify,https://github.com/docsifyjs/docsify,https://github.com/docsifyjs/docsify.git,https://github.com/docsifyjs/docsify,O,O,.github/PULL_REQUEST_TEMPLATE.md
88717215,youzan,vant,https://github.com/youzan/vant,https://github.com/youzan/vant.git,https://github.com/youzan/vant,O,O,.github/PULL_REQUEST_TEMPLATE.md
184460,celery,celery,https://github.com/celery/celery,https://github.com/celery/celery.git,https://github.com/celery/celery,O,O,.github/PULL_REQUEST_TEMPLATE.md
21399598,angular,material,https://github.com/angular/material,https://github.com/angular/material.git,https://github.com/angular/material,O,O,.github/PULL_REQUEST_TEMPLATE.md
527644,less,less.js,https://github.com/less/less.js,https://github.com/less/less.js.git,https://github.com/less/less.js,O,O,.github/PULL_REQUEST_TEMPLATE.md
31533997,facebook,fresco,https://github.com/facebook/fresco,https://github.com/facebook/fresco.git,https://github.com/facebook/fresco,O,O,.github/PULL_REQUEST_TEMPLATE.md
137451403,alibaba,nacos,https://github.com/alibaba/nacos,https://github.com/alibaba/nacos.git,https://github.com/alibaba/nacos,O,O,.github/PULL_REQUEST_TEMPLATE.md
45721011,apache,skywalking,https://github.com/apache/skywalking,https://github.com/apache/skywalking.git,https://github.com/apache/skywalking,O,O,.github/PULL_REQUEST_TEMPLATE
63226588,marmelab,react-admin,https://github.com/marmelab/react-admin,https://github.com/marmelab/react-admin.git,https://github.com/marmelab/react-admin,O,O,.github/pull_request_template.md
17107479,framework7io,framework7,https://github.com/framework7io/framework7,https://github.com/framework7io/framework7.git,https://github.com/framework7io/framework7,O,O,.github/PULL_REQUEST_TEMPLATE.md
40345658,recharts,recharts,https://github.com/recharts/recharts,https://github.com/recharts/recharts.git,https://github.com/recharts/recharts,O,O,.github/pull_request_template.md
45261969,nickbutcher,plaid,https://github.com/nickbutcher/plaid,https://github.com/nickbutcher/plaid.git,https://github.com/nickbutcher/plaid,O,O,pull_request_template.md
19953044,google,flatbuffers,https://github.com/google/flatbuffers,https://github.com/google/flatbuffers.git,https://github.com/google/flatbuffers,O,O,.github/PULL_REQUEST_TEMPLATE.md
809601,handlebars-lang,handlebars.js,https://github.com/handlebars-lang/handlebars.js,https://github.com/handlebars-lang/handlebars.js.git,https://github.com/handlebars-lang/handlebars.js,O,O,.github/PULL_REQUEST_TEMPLATE.md
56899284,Kong,insomnia,https://github.com/Kong/insomnia,https://github.com/Kong/insomnia.git,https://github.com/Kong/insomnia,O,O,.github/PULL_REQUEST_TEMPLATE.md
52630616,apollographql,apollo-client,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client.git,https://github.com/apollographql/apollo-client,O,O,.github/PULL_REQUEST_TEMPLATE.md
211124697,deezer,spleeter,https://github.com/deezer/spleeter,https://github.com/deezer/spleeter.git,https://github.com/deezer/spleeter,O,O,.github/PULL_REQUEST_TEMPLATE.md
202890778,chakra-ui,chakra-ui,https://github.com/chakra-ui/chakra-ui,https://github.com/chakra-ui/chakra-ui.git,https://github.com/chakra-ui/chakra-ui,O,O,.github/pull_request_template.md
7833168,elastic,kibana,https://github.com/elastic/kibana,https://github.com/elastic/kibana.git,https://github.com/elastic/kibana,O,O,.github/PULL_REQUEST_TEMPLATE.md
20587599,apache,flink,https://github.com/apache/flink,https://github.com/apache/flink.git,https://github.com/apache/flink,O,O,.github/PULL_REQUEST_TEMPLATE.md
38836015,michalsnik,aos,https://github.com/michalsnik/aos,https://github.com/michalsnik/aos.git,https://github.com/michalsnik/aos,O,O,PULL_REQUEST_TEMPLATE.md
61872036,dvajs,dva,https://github.com/dvajs/dva,https://github.com/dvajs/dva.git,https://github.com/dvajs/dva,O,O,.github/PULL_REQUEST_TEMPLATE.md
162723104,OWASP,CheatSheetSeries,https://github.com/OWASP/CheatSheetSeries,https://github.com/OWASP/CheatSheetSeries.git,https://github.com/OWASP/CheatSheetSeries,O,O,.github/pull_request_template.md
127769231,DIYgod,RSSHub,https://github.com/DIYgod/RSSHub,https://github.com/DIYgod/RSSHub.git,https://github.com/DIYgod/RSSHub,O,O,.github/PULL_REQUEST_TEMPLATE.md
15225670,jitsi,jitsi-meet,https://github.com/jitsi/jitsi-meet,https://github.com/jitsi/jitsi-meet.git,https://github.com/jitsi/jitsi-meet,O,O,.github/PULL_REQUEST_TEMPLATE.md
128018428,alibaba,Sentinel,https://github.com/alibaba/Sentinel,https://github.com/alibaba/Sentinel.git,https://github.com/alibaba/Sentinel,O,O,.github/PULL_REQUEST_TEMPLATE.md
21484781,jumpserver,jumpserver,https://github.com/jumpserver/jumpserver,https://github.com/jumpserver/jumpserver.git,https://github.com/jumpserver/jumpserver,O,O,.github/PULL_REQUEST_TEMPLATE.md
196284711,microsoft,cascadia-code,https://github.com/microsoft/cascadia-code,https://github.com/microsoft/cascadia-code.git,https://github.com/microsoft/cascadia-code,O,O,.github/PULL_REQUEST_TEMPLATE.md
75425073,pubkey,rxdb,https://github.com/pubkey/rxdb,https://github.com/pubkey/rxdb.git,https://github.com/pubkey/rxdb,O,O,.github/PULL_REQUEST_TEMPLATE.md
206660580,facebookresearch,detectron2,https://github.com/facebookresearch/detectron2,https://github.com/facebookresearch/detectron2.git,https://github.com/facebookresearch/detectron2,O,O,.github/pull_request_template.md
10365411,yabwe,medium-editor,https://github.com/yabwe/medium-editor,https://github.com/yabwe/medium-editor.git,https://github.com/yabwe/medium-editor,O,O,.github/PULL_REQUEST_TEMPLATE.md
312262,philc,vimium,https://github.com/philc/vimium,https://github.com/philc/vimium.git,https://github.com/philc/vimium,O,O,.github/pull_request_template.md
84009,jasmine,jasmine,https://github.com/jasmine/jasmine,https://github.com/jasmine/jasmine.git,https://github.com/jasmine/jasmine,O,O,.github/PULL_REQUEST_TEMPLATE.md
8424040,processing,p5.js,https://github.com/processing/p5.js,https://github.com/processing/p5.js.git,https://github.com/processing/p5.js,O,O,.github/PULL_REQUEST_TEMPLATE.md
105036236,Shopify,draggable,https://github.com/Shopify/draggable,https://github.com/Shopify/draggable.git,https://github.com/Shopify/draggable,O,O,.github/PULL_REQUEST_TEMPLATE.md
71932349,ray-project,ray,https://github.com/ray-project/ray,https://github.com/ray-project/ray.git,https://github.com/ray-project/ray,O,O,.github/PULL_REQUEST_TEMPLATE.md
12358097,hackiftekhar,IQKeyboardManager,https://github.com/hackiftekhar/IQKeyboardManager,https://github.com/hackiftekhar/IQKeyboardManager.git,https://github.com/hackiftekhar/IQKeyboardManager,O,O,.github/pull_request_template.md
20159867,nothings,stb,https://github.com/nothings/stb,https://github.com/nothings/stb.git,https://github.com/nothings/stb,O,O,.github/PULL_REQUEST_TEMPLATE.md
7634677,openssl,openssl,https://github.com/openssl/openssl,https://github.com/openssl/openssl.git,https://github.com/openssl/openssl,O,O,.github/PULL_REQUEST_TEMPLATE.md
1790564,handsontable,handsontable,https://github.com/handsontable/handsontable,https://github.com/handsontable/handsontable.git,https://github.com/handsontable/handsontable,O,O,.github/PULL_REQUEST_TEMPLATE.md
