id,repo,owner
249065239,learning3d,vinits5
223415751,DGFraud,safe-graph
193898092,PyRep,stepjam
154412076,ai-reference-models,intel
73790321,UCR_Time_Series_Classification_Deep_Learning_Baseline,cauchyturing
153133227,joeynmt,joeynmt
121932004,LSTM_RNN_Tutorials_with_Demo,omerbsezer
177415822,mindmeld,cisco
374368098,openspeech,openspeech-team
243942197,OpenAttack,thunlp
156307876,DeepCreamPy,liaoxiong3x
117385390,reinforcement-learning-algorithms,TianhongDai
248690852,DeepTables,DataCanvasIO
327025589,DenseMatching,PruneTruong
627240200,OpenBioMed,PharMolix
323426984,keras-unet-collection,yingkaisha
798932873,marker-api,adithya-s-k
326374508,awesome-theoretical-computer-science,mostafatouny
473506511,MetaSpore,meta-soul
162187816,boundary-loss,LIVIAETS
342885422,qiskit-machine-learning,qiskit-community
258477446,DiscoFaceGAN,microsoft
43489539,deeplearning4nlp-tutorial,UKPLab
205158640,FCGF,chrischoy
126902549,Trending-Deep-Learning,mbadry1
273564830,robustbench,RobustBench
191923503,openlib.cs,acmbpdc
64122944,dist-keras,cerndb
112321712,chainer-chemistry,chainer
114732346,cnn-facial-landmark,yinguobing
198997104,RLzoo,tensorlayer
313700156,SOREL-20M,sophos
102471571,Predictive-Maintenance-using-LSTM,umbertogriffo
411337492,wespeaker,wenet-e2e
293755225,opendr,opendr-eu
212275874,paz,oarriaga
177594519,FSA-Net,shamangary
236909723,ssqueezepy,OverLordGoldDragon
251697485,mimicry,kwotsin
51442999,cmd2,python-cmd2
91441209,scar,grycap
218481618,kospeech,sooftware
285743816,text-classification-surveys,xiaoqian19940510
164089752,Learning-OpenCV-4-Computer-Vision-with-Python-Third-Edition,PacktPublishing
119060297,cosine_metric_learning,nwojke
391777965,keras_cv_attention_models,leondgarse
388876833,NVFlare,NVIDIA
239436776,a-PyTorch-Tutorial-to-Super-Resolution,sgrvinod
351826770,MONAILabel,Project-MONAI
428599616,ymir,IndustryEssentials
175599901,masif,LPDI-EPFL
110142990,see,Bartzi
465182360,SparseInst,hustvl
316997159,featurewiz,AutoViML
133932110,Django-2-by-Example,PacktPublishing
93446064,rl-agents,eleurent
81897903,TensorFlow-Machine-Learning-Cookbook,PacktPublishing
130360032,NumPyCNN,ahmedfgad
444800849,OMML,njustkmg
130369068,DeepADoTS,KDD-OpenSource
269365590,DeepReg,DeepRegNet
63632527,MusicGenreClassification,mlachmish
169447021,pytorch-blender,cheind
61609586,deep-pwning,cchio
307342292,vectorhub,RelevanceAI
112776167,deepmatcher,anhaidgroup
241710430,deep-symbolic-optimization,dso-org
57242918,phillip,vladfi1
61393415,ner-lstm,monikkinom
266978147,Semantic-Segmentation-Loss-Functions,shruti-jadon
161854576,OpenVINO-YoloV3,PINTO0309
432768606,nuwa-pytorch,lucidrains
492079888,vidar,TRI-ML
198984224,Graph-Adversarial-Learning,EdisonLeeeee
251621744,Gradient-Centralization,Yonghongwei
434507886,TensorLayerX,tensorlayer
143866262,fire-detection-cnn,tobybreckon
165829628,mtl,ranandalon
157810638,esp-dl,espressif
207753171,Basic_CNNs_TensorFlow2,calmiLovesAI
390534061,efficient-gnns,chaitjo
479489097,torchopt,metaopt
130831822,FewShotWithoutForgetting,gidariss
137566726,GazeML,swook
103471501,honk,castorini
304958084,Machine-Learning-Guide,mikeroyal
37105160,Mastering-Python-for-Finance-source-codes,jamesmawm
161100560,rl_algorithms,medipixel
341569637,DRLib,kaixindelele
322350492,bayesian-torch,IntelLabs
288543036,People-Counting-in-Real-Time,saimj7
155687643,Hyperactive,SimonBlanke
181527837,Flappy-bird-deep-Q-learning-pytorch,uvipen
38272201,cnn-vis,jcjohnson
210873203,PaddleFL,PaddlePaddle
268875034,caliban,google
164441115,Hyperspectral-Classification,eecn
159827756,libfaceid,richmondu
115991064,natural-language-processing,khanhnamle1994
490954397,DXcam,ra1nty
411286643,Awesome-LongTailed-Learning,Vanint
472280519,img2table,xavctn
197865066,Amazing-Semantic-Segmentation,luyanger1799
56260814,rnn-from-scratch,gy910210
124290023,DeepForest,weecology
277973609,tmrl,trackmania-rl
235061629,Graph-Bert,jwzhanggy
180587550,tf2rl,keiohta
417322802,Awesome_Quadrupedal_Robots,curieuxjy
135140095,pcam,basveeling
66316247,Sequence-Semantic-Embedding,eBay
296572233,DatasetCondensation,VICO-UoE
251007070,Tetris-deep-Q-learning-pytorch,uvipen
230030615,Deep-Residual-Shrinkage-Networks,zhao62
283664242,LaMCTS,facebookresearch
301518776,amazon-braket-examples,amazon-braket
90730179,Code-Sleep-Python,prateekiiest
79776573,Artificial-Intelligence-with-Python,PacktPublishing
104973687,myia,mila-iqia
45847491,conjure-up,conjure-up
140302908,supervisely,supervisely
399905986,warp-drive,salesforce
451958645,SimCTG,yxuansu
655021836,HybridAGI,SynaLinks
770250365,edm2,NVlabs
60766913,Python-Machine-Learning-Cookbook,PacktPublishing
347129505,Laplace,aleximmer
728036480,Machine-Mindset,PKU-YuanGroup
276036730,pykale,pykale
503454474,mcunet,mit-han-lab
103804538,Deep-Learning-NLP,astorfi
708737761,SLAM-LLM,X-LANCE
604404340,awesome-instruction-learning,RenzeLou
654516474,awesome-industrial-protocols,Orange-Cyberdefense
114080451,FACSvatar,NumesSanguis
35744089,Diffusion-Probabilistic-Models,Sohl-Dickstein
665758053,attorch,BobMcDear
176126178,MedCAT,CogStack
167597323,DeepHyperX,nshaud
384007696,rPPG-Toolbox,ubicomplab
566277502,tiny-training,mit-han-lab
222242588,Visual-Tracking-Development,DavidZhangdw
58469159,poseidon,faucetsdn
112225649,arXausality,logangraham
86444372,deep-koalarization,baldassarreFe
80221082,DeepLearningStars,hunkim
256053482,imitation-learning,Kaixhin
141759344,fast_blind_video_consistency,phoenix104104
206366193,interpret-text,interpretml
138932139,airlab,airlab-unibas
211819061,CameraRadarFusionNet,TUMFTM
133702954,deepcell-tf,vanvalenlab
193556007,aries-cloudagent-python,hyperledger
217789312,resnet1d,hsd1503
405701498,FBCNN,jiaxi-jiang
228486057,wgpu-py,pygfx
760887878,persian-license-plate-recognition,truthofmatthew
252740567,robo-gym,jr-robotics
380978303,tennis-tracking,ArtLabss
230536199,UDTL,ZhaoZhibin
214425904,post-tuto-deployment,MarwanDebbiche
474895085,YLearn,DataCanvasIO
180458619,EdgeRealtimeVideoAnalytics,RedisGears
558512915,logai,salesforce
93170751,self-driving-truck,aleju
268833409,MuJoCo_RL_UR5,PaulDanielML
188738155,Generative-Adversarial-Networks-Roadmap,instillai
129458870,delft,kermitt2
667310297,DSCNet,YaoleiQi
636065294,bidara,nasa-petal
165284791,n2v,juglab
268110746,pyspark-cheatsheet,cartershanklin
252362426,Machine-Learning-is-ALL-You-Need,Skylark0924
158492042,Algorithms-Cheatsheet-Resources,starkblaze01
734082933,joytag,fpgaminer
139549274,neural-symbolic-machines,crazydonkey200
63731563,cinema4d-scripts,aturtur
68372055,product-nets,Atomu2014
717335443,ChatAnything,zhoudaquan
151057527,Mastering-OpenCV-4-with-Python,PacktPublishing
553272352,ModelAssistant,Seeed-Studio
202435057,DEODR,martinResearch
102517499,pycadl,pkmital
676498788,CVPR-2023-24-Papers,DmitryRyumin
139976933,MobileNet-SSD-RealSense,PINTO0309
112068682,CapsLayer,naturomics
476563942,lightweight-neural-architecture-search,alibaba
181565879,flownet3d,xingyul
106470718,CARN-pytorch,nmhkahn
470785220,TheVrMLEyeToolbox,SummerSigh
45596393,odl,odlgroup
370256849,DeepImageSearch,TechyNilesh
626498767,visual-med-alpaca,cambridgeltl
719239242,llm-sp,chawins
262516632,histolab,histolab
167996749,kubernetes-mlops,AlexIoannides
111998139,adeleine,SerialLain3170
219580162,ShadeSketch,qyzdao
500395165,torcheeg,torcheeg
569558428,autobound,google
169170694,papers,LyleMi
89934189,webcam-pix2pix-tensorflow,memo
218172200,PerceptualAudio,pranaymanocha
645659535,pytorch-attention,changzy00
762564236,PaintMixing,miciwan
237910884,UIED,MulongXie
54422317,svae,mattjj
103012489,LearningX,ankonzoid
334073193,FinRL_Podracer,AI4Finance-Foundation
255570866,ai-research-code,sony
154229754,DynamicGEM,palash1992
595728617,ask-fsdl,the-full-stack
388656262,torchrs,isaaccorley
175690975,RNAN,yulunzhang
373237225,RadImageNet,BMEII-AI
167119230,coral-cnn,Raschka-research-group
17085874,justified-variables,timvieira
503178978,EdgeNeXt,mmaaz60
410658471,ISP-Guide,mikeroyal
653852586,dreamsim,ssundaram21
299839059,neuralhydrology,neuralhydrology
124678941,realtime-yukarin,Hiroshiba
208021710,DeepHomography,JirongZhang
332524452,SeaLion,anish-lakkapragada
198203883,calibration-framework,EFS-OpenSource
291283941,Jarvis_AI,Dipeshpal
599531423,SinMDM,SinMDM
382052875,scalecast,mikekeith52
361631547,nn-Meter,microsoft
655836653,AirCtrl,pentilm
399194159,OpenWeedLocator,geezacoleman
291783473,PointContrast,facebookresearch
119879132,SCALE-Sim,ARM-software
105025738,tensorflow-GANs,TwistedW
341677886,deep-significance,Kaleidophon
77412963,image-compression-cnn,iamaaditya
329317418,xgboost-survival-embeddings,loft-br
501055406,modern-python-101,octallium
199644423,DeepRL_Algorithms,RITCHIEHuang
571772611,difflogic,Felix-Petersen
320592690,sparsify,neuralmagic
467369884,Differential-Privacy-Based-Federated-Learning,wenzhu23333
252220236,auton-survival,autonlab
102874853,uproot3,scikit-hep
130669425,lithops,lithops-cloud
673278147,ICASSP-2023-24-Papers,DmitryRyumin
242686959,denoise-imu-gyro,mbrossar
197976875,sciann,sciann
368468407,Infrared-Small-Target-Detection,YeRen123455
234117993,Resources-Allocation-in-The-Edge-Computing-Environment-Using-Reinforcement-Learning,davidtw0320
110871367,awesome-reproducible-research,leipzig
81988822,DeepChatModels,mckinziebrandon
494611862,fashion-clip,patrickjohncyh
103709988,accel-brain-code,accel-brain
91716856,Deep-Reinforcement-Learning-in-Stock-Trading,shenyichen105
575404625,skscope,abess-team
212333820,pyhpc-benchmarks,dionhaefner
208760208,ngransac,vislearn
653546706,PromptIR,va1shn9v
274447741,M3d-Cam,MECLabTUDA
413191694,Neuromorphic-Computing-Guide,mikeroyal
52731535,AgentNet,yandexdataschool
246486004,EQTransformer,smousavi05
163561169,RLcycle,cyoon1729
435921975,SAITS,WenjieDu
193679288,hatespeechdata,leondz
178459453,alf,HorizonRobotics
539045602,minimal-text-diffusion,madaan
33518425,pliers,PsychoinformaticsLab
226871160,Simple-IT-English,kkyon
471500104,ProphitBet-Soccer-Bets-Predictor,kochlisGit
152074068,Text_Matching,JepsonWong
276474742,deepparse,GRAAL-Research
53914628,hdDeepLearningStudy,mike-bowles
287060497,PixelSSL,ZHKKKe
222209282,BayesFlow,stefanradev93
321824602,legal-ml-datasets,neelguha
216583232,gym-electric-motor,upb-lea
379215623,Table-Pretraining,microsoft
90210350,depression-detect,kykiefer
221855943,geom-gcn,bingzhewei
416091141,recipes,facebookresearch
383025085,P3M,JizhiziLi
359149825,Online-3D-BPP-DRL,alexfrom0815
299520287,CEN,yikaiw
395051496,LibAUC,Optimization-AI
152933799,HFM,maziarraissi
413423049,AvatarPoser,eth-siplab
